"id","poskod","lokasi","bandar","negeri"
"51","01000","Kampung Bakong (Jejawi)","Kangar","PLS"
"52","01000","Kampung Baroh","Kangar","PLS"
"53","01000","Kampung Baru Santan","Kangar","PLS"
"54","01000","Kampung Baru","Kangar","PLS"
"55","01000","Kampung Batu 3.5 (Jalan Kaki Bukit)","Kangar","PLS"
"56","01000","Kampung Batu Pahat","Kangar","PLS"
"57","01000","Kampung Behor Cicar","Kangar","PLS"
"58","01000","Kampung Behor Empiang","Kangar","PLS"
"59","01000","Kampung Behor Inai","Kangar","PLS"
"60","01000","Kampung Behor Janggus","Kangar","PLS"
"61","01000","Kampung Behor Kebal","Kangar","PLS"
"62","01000","Kampung Behor Pulai","Kangar","PLS"
"63","01000","Kampung Behor Temak","Kangar","PLS"
"64","01000","Kampung Belangga Pudak","Kangar","PLS"
"65","01000","Kampung Belat Santan","Kangar","PLS"
"66","01000","Kampung Belukar (Kangar)","Kangar","PLS"
"67","01000","Kampung Bendang Baru","Kangar","PLS"
"68","01000","Kampung Binjal","Kangar","PLS"
"69","01000","Kampung Bintong","Kangar","PLS"
"70","01000","Kampung Bohor Chichar","Kangar","PLS"
"71","01000","Kampung Bohor Gandil","Kangar","PLS"
"72","01000","Kampung Bohor Gelam","Kangar","PLS"
"73","01000","Kampung Bohor Goncar","Kangar","PLS"
"74","01000","Kampung Bohor Inai","Kangar","PLS"
"75","01000","Kampung Bohor Temak","Kangar","PLS"
"76","01000","Kampung Bukit Besi Hangit","Kangar","PLS"
"77","01000","Kampung Bukit Kecil","Kangar","PLS"
"78","01000","Kampung Bunga Pudak","Kangar","PLS"
"79","01000","Kampung Dagang","Kangar","PLS"
"80","01000","Kampung Dasri","Kangar","PLS"
"81","01000","Kampung Datuk","Kangar","PLS"
"82","01000","Kampung Guar Syed Alwi","Kangar","PLS"
"83","01000","Kampung Guar Ujung Batu","Kangar","PLS"
"84","01000","Kampung Gunong","Kangar","PLS"
"85","01000","Kampung Guru","Kangar","PLS"
"86","01000","Kampung Haji Daud","Kangar","PLS"
"87","01000","Kampung Hutan Buluh","Kangar","PLS"
"88","01000","Kampung Hutan Melintang","Kangar","PLS"
"89","01000","Kampung Jarak","Kangar","PLS"
"90","01000","Kampung Jejawi Dalam","Kangar","PLS"
"91","01000","Kampung Jejawi Sematang","Kangar","PLS"
"92","01000","Kampung Kechor","Kangar","PLS"
"93","01000","Kampung Keranji","Kangar","PLS"
"94","01000","Kampung Kota Keran","Kangar","PLS"
"95","01000","Kampung Kota Ulu","Kangar","PLS"
"96","01000","Kampung Kota","Kangar","PLS"
"97","01000","Kampung Kubang Arang","Kangar","PLS"
"98","01000","Kampung Kubang Badak","Kangar","PLS"
"99","01000","Kampung Kubang Cekuang","Kangar","PLS"
"100","01000","Kampung Kubang Gajah","Kangar","PLS"
"101","01000","Kampung Kurung Batang","Kangar","PLS"
"102","01000","Kampung Lin","Kangar","PLS"
"103","01000","Kampung Masjid (Kangar)","Kangar","PLS"
"104","01000","Kampung Mengkuang Layar","Kangar","PLS"
"105","01000","Kampung Nissam","Kangar","PLS"
"106","01000","Kampung Nyak Adam","Kangar","PLS"
"107","01000","Kampung Padang Behor","Kangar","PLS"
"108","01000","Kampung Padang Jawa Seriab","Kangar","PLS"
"109","01000","Kampung Padang Katong","Kangar","PLS"
"110","01000","Kampung Padang Kedepiang","Kangar","PLS"
"111","01000","Kampung Padang Machang","Kangar","PLS"
"112","01000","Kampung Padang Nyaring","Kangar","PLS"
"113","01000","Kampung Padang Pauh","Kangar","PLS"
"114","01000","Kampung Padang Petani","Kangar","PLS"
"115","01000","Kampung Padang Seberang","Kangar","PLS"
"116","01000","Kampung Panggau","Kangar","PLS"
"117","01000","Kampung Parit Jari","Kangar","PLS"
"118","01000","Kampung Penghulu Bakar","Kangar","PLS"
"119","01000","Kampung Pengkalan Asam","Kangar","PLS"
"120","01000","Kampung Peseri","Kangar","PLS"
"121","01000","Kampung Petai Hilir","Kangar","PLS"
"122","01000","Kampung Petai","Kangar","PLS"
"123","01000","Kampung Pokok Jawi","Kangar","PLS"
"124","01000","Kampung Pondok","Kangar","PLS"
"125","01000","Kampung Pulau","Kangar","PLS"
"126","01000","Kampung Repoh Dagang","Kangar","PLS"
"127","01000","Kampung Repoh","Kangar","PLS"
"128","01000","Kampung Salang","Kangar","PLS"
"129","01000","Kampung Santan Aur","Kangar","PLS"
"130","01000","Kampung Santan Belat","Kangar","PLS"
"131","01000","Kampung Santan Enam","Kangar","PLS"
"132","01000","Kampung Santan Masjid","Kangar","PLS"
"133","01000","Kampung Santan","Kangar","PLS"
"134","01000","Kampung Sempering","Kangar","PLS"
"135","01000","Kampung Sena Sematang","Kangar","PLS"
"136","01000","Kampung Sena","Kangar","PLS"
"137","01000","Kampung Sentang","Kangar","PLS"
"138","01000","Kampung Sentua","Kangar","PLS"
"139","01000","Kampung Seriab","Kangar","PLS"
"140","01000","Kampung Sungai Bakong","Kangar","PLS"
"141","01000","Kampung Sungai Baru","Kangar","PLS"
"142","01000","Kampung Sungai Santan","Kangar","PLS"
"143","01000","Kampung Sungai Siran","Kangar","PLS"
"144","01000","Kampung Surau","Kangar","PLS"
"145","01000","Kampung Syed Umar","Kangar","PLS"
"146","01000","Kampung Tanjung Buluh","Kangar","PLS"
"147","01000","Kampung Tanjung Gorah","Kangar","PLS"
"148","01000","Kampung Tanjung Sila","Kangar","PLS"
"149","01000","Kampung Tanjung","Kangar","PLS"
"150","01000","Kampung Tebing Tinggi","Kangar","PLS"
"151","01000","Kampung Telaga Idi","Kangar","PLS"
"152","01000","Kampung Telaga Nyiur Manis","Kangar","PLS"
"153","01000","Kampung Telok Epa","Kangar","PLS"
"154","01000","Kampung Telok Gelam","Kangar","PLS"
"155","01000","Kampung Telok Jambu","Kangar","PLS"
"156","01000","Kampung Telok Kacang","Kangar","PLS"
"157","01000","Kampung Telok Tui","Kangar","PLS"
"158","01000","Kampung Temak","Kangar","PLS"
"159","01000","Kampung Tengah Abi","Kangar","PLS"
"160","01000","Kampung Titi Teras","Kangar","PLS"
"161","01000","Kampung Titi Tok Bandar","Kangar","PLS"
"162","01000","Kampung Tok Dewa","Kangar","PLS"
"163","01000","Kampung Tok Gong","Kangar","PLS"
"164","01000","Kampung Tok Jawa","Kangar","PLS"
"165","01000","Kampung Tok Jepun","Kangar","PLS"
"166","01000","Kampung Tok Kandang","Kangar","PLS"
"167","01000","Kampung Tok Kembong","Kangar","PLS"
"168","01000","Kampung Tok Larak","Kangar","PLS"
"169","01000","Kampung Tok Peduka","Kangar","PLS"
"170","01000","Kampung Tok Pong","Kangar","PLS"
"171","01000","Kampung Tok Sumbing","Kangar","PLS"
"172","01000","Kampung Ujung Bukit","Kangar","PLS"
"173","01000","Kampung Utan Aji","Kangar","PLS"
"174","01000","Kampung Utan Temak","Kangar","PLS"
"175","01000","Kampung Wang Belimbing","Kangar","PLS"
"176","01000","Kampung Wang Besar","Kangar","PLS"
"177","01000","Kampung Wang Ulu","Kangar","PLS"
"178","01000","Kangar","Kangar","PLS"
"179","01000","Kubang Arang","Kangar","PLS"
"180","01000","Lorong Haji Seman","Kangar","PLS"
"181","01000","Lorong Kampung Sena","Kangar","PLS"
"182","01000","Lorong Nisam","Kangar","PLS"
"183","01000","Lorong Sekolah","Kangar","PLS"
"184","01000","Lukuk Gajah","Kangar","PLS"
"185","01000","Mengkuang Layar","Kangar","PLS"
"186","01000","Padang Bohor","Kangar","PLS"
"187","01000","Pengkalan Asam","Kangar","PLS"
"188","01000","Perumahan Awam Bohor Lateh","Kangar","PLS"
"189","01000","Perumahan Awam Santan","Kangar","PLS"
"190","01000","Repoh","Kangar","PLS"
"191","01000","Sena Rendang","Kangar","PLS"
"192","01000","Taman Abu Bakar Munir","Kangar","PLS"
"193","01000","Taman Aman","Kangar","PLS"
"194","01000","Taman Bakau Emas","Kangar","PLS"
"195","01000","Taman Behor Indah","Kangar","PLS"
"196","01000","Taman Bintong Maju","Kangar","PLS"
"197","01000","Taman Bintong Setia","Kangar","PLS"
"198","01000","Taman Bintong Utama","Kangar","PLS"
"199","01000","Taman Bukit Kaya","Kangar","PLS"
"200","01000","Taman Bukit Kayangan","Kangar","PLS"
"201","01000","Taman Bumita","Kangar","PLS"
"202","01000","Taman Bunga Kemboja RPA","Kangar","PLS"
"203","01000","Taman Bunga Raya","Kangar","PLS"
"204","01000","Taman Cahaya","Kangar","PLS"
"205","01000","Taman Cergas","Kangar","PLS"
"206","01000","Taman Ceria","Kangar","PLS"
"207","01000","Taman Choo Kee","Kangar","PLS"
"208","01000","Taman Datuk Jaafar Hassan","Kangar","PLS"
"209","01000","Taman Datuk Setia","Kangar","PLS"
"210","01000","Taman Datuk Wan Ahmad","Kangar","PLS"
"211","01000","Taman Desa Bintong","Kangar","PLS"
"212","01000","Taman Desa Jarak","Kangar","PLS"
"213","01000","Taman Desa Katong","Kangar","PLS"
"214","01000","Taman Desa Kayangan","Kangar","PLS"
"215","01000","Taman Desa Pulai","Kangar","PLS"
"216","01000","Taman Desa Putra","Kangar","PLS"
"217","01000","Taman Desa Sentua","Kangar","PLS"
"218","01000","Taman Fauziah","Kangar","PLS"
"219","01000","Taman Firdaus","Kangar","PLS"
"220","01000","Taman Gasing","Kangar","PLS"
"221","01000","Taman Gembira","Kangar","PLS"
"222","01000","Taman Guru Jaya","Kangar","PLS"
"223","01000","Taman Guru","Kangar","PLS"
"224","01000","Taman Hijrah","Kangar","PLS"
"225","01000","Taman Idaman","Kangar","PLS"
"226","01000","Taman Indera","Kangar","PLS"
"227","01000","Taman Intan","Kangar","PLS"
"228","01000","Taman Ira","Kangar","PLS"
"229","01000","Taman Jali","Kangar","PLS"
"230","01000","Taman Jarak","Kangar","PLS"
"231","01000","Taman Jawi Matang","Kangar","PLS"
"232","01000","Taman Jaya ","Kangar","PLS"
"233","01000","Taman Jaya Diri","Kangar","PLS"
"234","01000","Taman Jejawi","Kangar","PLS"
"235","01000","Taman Jelati","Kangar","PLS"
"236","01000","Taman Kangar","Kangar","PLS"
"237","01000","Taman Kastam ","Kangar","PLS"
"238","01000","Taman Kayangan Indah","Kangar","PLS"
"239","01000","Taman Kechor Indah","Kangar","PLS"
"240","01000","Taman Kechor Jaya","Kangar","PLS"
"241","01000","Taman Kecor Indah","Kangar","PLS"
"242","01000","Taman Kemajuan","Kangar","PLS"
"243","01000","Taman Kenanga","Kangar","PLS"
"244","01000","Taman Koperasi","Kangar","PLS"
"245","01000","Taman Lewata","Kangar","PLS"
"246","01000","Taman Lima Naleh","Kangar","PLS"
"247","01000","Taman Mada Sepakat","Kangar","PLS"
"248","01000","Taman Mas Muda","Kangar","PLS"
"249","01000","Taman Mas Putra","Kangar","PLS"
"250","01000","Taman Mas Ria","Kangar","PLS"
"251","01000","Taman Medan Sepakat","Kangar","PLS"
"252","01000","Taman Merpati","Kangar","PLS"
"253","01000","Taman Mesra ","Kangar","PLS"
"254","01000","Taman Mesra Jejawi","Kangar","PLS"
"255","01000","Taman Mewah","Kangar","PLS"
"256","01000","Taman Muda Sepakat","Kangar","PLS"
"257","01000","Taman Murni","Kangar","PLS"
"258","01000","Taman Mutiara","Kangar","PLS"
"259","01000","Taman Norma","Kangar","PLS"
"260","01000","Taman Peduka","Kangar","PLS"
"261","01000","Taman Pekeliling","Kangar","PLS"
"262","01000","Taman Pengkalan Assam","Kangar","PLS"
"263","01000","Taman Pengkalan Indah","Kangar","PLS"
"264","01000","Taman Perlis","Kangar","PLS"
"265","01000","Taman Permai","Kangar","PLS"
"266","01000","Taman Pertama","Kangar","PLS"
"267","01000","Taman Pertiwi Indah","Kangar","PLS"
"268","01000","Taman Pertiwi Seriab","Kangar","PLS"
"269","01000","Taman Putera","Kangar","PLS"
"270","01000","Taman Putra Putri","Kangar","PLS"
"271","01000","Taman Rasa Sayang","Kangar","PLS"
"272","01000","Taman Repoh Indah","Kangar","PLS"
"273","01000","Taman Repoh Jaya","Kangar","PLS"
"274","01000","Taman Repoh","Kangar","PLS"
"275","01000","Taman Sena Indah","Kangar","PLS"
"276","01000","Taman Sena Permai","Kangar","PLS"
"277","01000","Taman Sena","Kangar","PLS"
"278","01000","Taman Sentua","Kangar","PLS"
"279","01000","Taman Sepadu 1","Kangar","PLS"
"280","01000","Taman Sepadu","Kangar","PLS"
"281","01000","Taman Seri Bahagia","Kangar","PLS"
"282","01000","Taman Seri Embun","Kangar","PLS"
"283","01000","Taman Seri Idaman","Kangar","PLS"
"284","01000","Taman Seri Intan","Kangar","PLS"
"285","01000","Taman Seri Manis","Kangar","PLS"
"286","01000","Taman Seri Medan","Kangar","PLS"
"287","01000","Taman Seri Murni","Kangar","PLS"
"288","01000","Taman Seri Pilihan","Kangar","PLS"
"289","01000","Taman Seri Puchong","Kangar","PLS"
"290","01000","Taman Seri Pulai 4","Kangar","PLS"
"291","01000","Taman Seri Tanjung","Kangar","PLS"
"292","01000","Taman Seriab","Kangar","PLS"
"293","01000","Taman Setia Utama","Kangar","PLS"
"294","01000","Taman Simpang Tiga","Kangar","PLS"
"295","01000","Taman Sri Guar Syed Alwi","Kangar","PLS"
"296","01000","Taman Suriani","Kangar","PLS"
"297","01000","Taman Syed Alwi","Kangar","PLS"
"298","01000","Taman Ten","Kangar","PLS"
"299","01000","Taman Teratai","Kangar","PLS"
"300","01000","Taman Tok Peduka","Kangar","PLS"
"301","01000","Taman Utama Indah","Kangar","PLS"
"302","01000","Taman Utama","Kangar","PLS"
"303","01000","Taman Utara","Kangar","PLS"
"304","01000","Taman Wira","Kangar","PLS"
"305","01000","Titi Chai","Kangar","PLS"
"306","01000","Titi Midin","Kangar","PLS"
"307","01000","Tok Peduka","Kangar","PLS"
"308","01000","Ujung Batu","Kangar","PLS"
"309","01007","Kangar - Peti surat","Kangar","PLS"
"310","01009","Kangar - Beg berkunci","Kangar","PLS"
"311","01500","DYMM Tuanku Raja Perlis","Kangar","PLS"
"312","01502","YAB Menteri Besar Perlis","Kangar","PLS"
"313","01503","Setiausaha Kerajaan Negeri","Kangar","PLS"
"314","01504","Biro Bantuan Guaman","Kangar","PLS"
"315","01505","Biro Pengaduan Awam","Kangar","PLS"
"316","01506","Mahkamah Sesyen","Kangar","PLS"
"317","01506","Mahkamah Tinggi","Kangar","PLS"
"318","01508","Amanah Raya Berhad","Kangar","PLS"
"319","01512","Penasihat Undang-Undang Negeri","Kangar","PLS"
"320","01514","Jabatan Perangkaan","Kangar","PLS"
"321","01516","Jabatan Pemegang Harta","Kangar","PLS"
"322","01517","Jabatan Perpaduan Negara","Kangar","PLS"
"323","01518","Jabatan Audit Negeri","Kangar","PLS"
"324","01524","Setiausaha Keselamatan Negeri","Kangar","PLS"
"325","01529","Unit Penyelidikan Sosio Ekonomi","Kangar","PLS"
"326","01532","Jabatan Sumber Manusia","Kangar","PLS"
"327","01538","Jabatan Keselamatan Sosial (Perkeso)","Kangar","PLS"
"328","01540","Jabatan Tenaga Rakyat","Kangar","PLS"
"329","01546","Pejabat Rela Negeri","Kangar","PLS"
"330","01546","Unit Pencegah Penyeludupan","Kangar","PLS"
"331","01550","Jabatan Imigresen","Kangar","PLS"
"332","01551","Jabatan Pendaftaran Negara","Kangar","PLS"
"333","01556","Jabatan Pertahanan Awam","Kangar","PLS"
"334","01560","Ketua Polis Negeri","Kangar","PLS"
"335","01564","Jabatan Kebajikan Masyarakat","Kangar","PLS"
"336","01570","Jabatan Belia & Sukan","Kangar","PLS"
"337","01572","Perpustakaan Awam Negeri","Kangar","PLS"
"338","01576","Jabatan Tanah & Galian","Kangar","PLS"
"339","01578","Jabatan Ukur & Pemetaan","Kangar","PLS"
"340","01582","Jabatan Kerja Raya","Kangar","PLS"
"341","01586","Hospital Kangar","Kangar","PLS"
"342","01590","Jabatan Kesihatan","Kangar","PLS"
"343","01592","Pegawai Kewangan Negeri","Kangar","PLS"
"344","01594","Akauntan Negeri","Kangar","PLS"
"345","01596","Jabatan Kastam & Eksais Di Raja","Kangar","PLS"
"346","01598","Kumpulan Wang Simpanan Pekerja","Kangar","PLS"
"347","01600","Lembaga Hasil Dalam Negeri","Kangar","PLS"
"348","01604","Jabatan Pendidikan","Kangar","PLS"
"349","01606","Jabatan Kemajuan Masyarakat (Kemas)","Kangar","PLS"
"350","01608","Jabatan Pembangunan Koperasi","Kangar","PLS"
"351","01609","Pejabat Mara Negeri","Kangar","PLS"
"352","01610","Bahagian Perlesenan - Kementerian Penerangan","Kangar","PLS"
"353","01612","Jabatan Penerangan","Kangar","PLS"
"354","01614","Jabatan Penyiaran","Kangar","PLS"
"355","01620","Jabatan Pengangkutan Jalan","Kangar","PLS"
"356","01622","Unit Penguatkuasa Kem. Perdagangan & Perindustrian","Kangar","PLS"
"357","01626","Jabatan Pengairan & Saliran","Kangar","PLS"
"358","01628","Jabatan Perikanan","Kangar","PLS"
"359","01630","Jabatan Haiwan","Kangar","PLS"
"360","01632","Jabatan Pertanian","Kangar","PLS"
"361","01634","Panglima Markas 12 Briged","Kangar","PLS"
"362","01644","Majlis Perbandaran Kangar","Kangar","PLS"
"363","01646","Jabatan Perancang Bandar & Desa","Kangar","PLS"
"364","01648","Jabatan Bomba & Penyelamat","Kangar","PLS"
"365","01660","Jabatan Perhutanan","Kangar","PLS"
"366","01664","Jabatan Perhilitan","Kangar","PLS"
"367","01670","Pos Malaysia Berhad","Kangar","PLS"
"368","01672","Telekom Malaysia Berhad","Kangar","PLS"
"369","01673","Tenaga Nasional Berhad","Kangar","PLS"
"370","01674","Pegawai Kemajuan Negeri","Kangar","PLS"
"371","01676","Jabatan Agama Islam Perlis","Kangar","PLS"
"372","01680","Dewan Undangan Negeri","Kangar","PLS"
"373","01694","Jabatan KeBudayaan & Kesenian","Kangar","PLS"
"374","02000","Al Marhom Kayang","Kuala Perlis","PLS"
"375","02000","Bohor Lateh","Kuala Perlis","PLS"
"376","02000","Bohor Mali","Kuala Perlis","PLS"
"377","02000","Bukit Puteh","Kuala Perlis","PLS"
"378","02000","Bukit Tok Po","Kuala Perlis","PLS"
"379","02000","Jalan Besar","Kuala Perlis","PLS"
"380","02000","Jalan Lama Kuala Perlis (Batu 4)","Kuala Perlis","PLS"
"381","02000","Jalan Masjid","Kuala Perlis","PLS"
"382","02000","Jalan Miri","Kuala Perlis","PLS"
"383","02000","Jalan Panggong","Kuala Perlis","PLS"
"384","02000","Jalan Serawak","Kuala Perlis","PLS"
"385","02000","Jalan Siakap","Kuala Perlis","PLS"
"386","02000","Jalan Simpang Empat (Batu 3 3/4 - 4 1/2)","Kuala Perlis","PLS"
"387","02000","Kampung Bahagia","Kuala Perlis","PLS"
"388","02000","Kampung Bangsal Lebah","Kuala Perlis","PLS"
"389","02000","Kampung Baru (Jalan Sarawak)","Kuala Perlis","PLS"
"390","02000","Kampung Baru Jeti","Kuala Perlis","PLS"
"391","02000","Kampung Baru Tandiap","Kuala Perlis","PLS"
"392","02000","Kampung Baru Tok Kuning","Kuala Perlis","PLS"
"393","02000","Kampung Batu Buaya","Kuala Perlis","PLS"
"394","02000","Kampung Batu Lima","Kuala Perlis","PLS"
"395","02000","Kampung Behor Lateh","Kuala Perlis","PLS"
"396","02000","Kampung Belakang Kilang","Kuala Perlis","PLS"
"397","02000","Kampung Besar","Kuala Perlis","PLS"
"398","02000","Kampung Bohor Ibus","Kuala Perlis","PLS"
"399","02000","Kampung Bohor Lateh","Kuala Perlis","PLS"
"400","02000","Kampung Bohor Mesjid","Kuala Perlis","PLS"
"401","02000","Kampung Bohor Rotan Pahit","Kuala Perlis","PLS"
"402","02000","Kampung Bohor Tui","Kuala Perlis","PLS"
"403","02000","Kampung Bukit Papan","Kuala Perlis","PLS"
"404","02000","Kampung Hujung Tanjung","Kuala Perlis","PLS"
"405","02000","Kampung Kolam Raja","Kuala Perlis","PLS"
"406","02000","Kampung Kota Kayang","Kuala Perlis","PLS"
"407","02000","Kampung Kuala","Kuala Perlis","PLS"
"408","02000","Kampung Kurung Tengar","Kuala Perlis","PLS"
"409","02000","Kampung Langgar","Kuala Perlis","PLS"
"410","02000","Kampung Nelayan","Kuala Perlis","PLS"
"411","02000","Kampung Padang Besar Selatan","Kuala Perlis","PLS"
"412","02000","Kampung Padang Cina","Kuala Perlis","PLS"
"413","02000","Kampung Padang Jamil","Kuala Perlis","PLS"
"414","02000","Kampung Pak Lengah","Kuala Perlis","PLS"
"415","02000","Kampung Peladang","Kuala Perlis","PLS"
"416","02000","Kampung Perak","Kuala Perlis","PLS"
"417","02000","Kampung Pokok Asam","Kuala Perlis","PLS"
"418","02000","Kampung Puju","Kuala Perlis","PLS"
"419","02000","Kampung Pulau Ketam","Kuala Perlis","PLS"
"420","02000","Kampung Pulau","Kuala Perlis","PLS"
"421","02000","Kampung Seberang Alor","Kuala Perlis","PLS"
"422","02000","Kampung Seberang Jaya","Kuala Perlis","PLS"
"423","02000","Kampung Seberang Tok PI","Kuala Perlis","PLS"
"424","02000","Kampung Sungai Mati","Kuala Perlis","PLS"
"425","02000","Kampung Tandiap","Kuala Perlis","PLS"
"426","02000","Kampung Tanjung Gelam","Kuala Perlis","PLS"
"427","02000","Kampung Telok","Kuala Perlis","PLS"
"428","02000","Kampung Tengah Bohor Lateh","Kuala Perlis","PLS"
"429","02000","Kampung Tengah","Kuala Perlis","PLS"
"430","02000","Kampung Terus Teritip","Kuala Perlis","PLS"
"431","02000","Kampung Titi Serong","Kuala Perlis","PLS"
"432","02000","Kampung Tok Kaya","Kuala Perlis","PLS"
"433","02000","Kampung Tok Kuning","Kuala Perlis","PLS"
"434","02000","Kampung Utan Ibus","Kuala Perlis","PLS"
"435","02000","Kampung Wai","Kuala Perlis","PLS"
"436","02000","Kampung Wang Pinang","Kuala Perlis","PLS"
"437","02000","Kawasan Perindustrian Kuala Perlis","Kuala Perlis","PLS"
"438","02000","Kuala Perlis","Kuala Perlis","PLS"
"439","02000","PPRT Tok Kuning","Kuala Perlis","PLS"
"440","02000","Persiaran Putra Timur 1","Kuala Perlis","PLS"
"441","02000","Rancangan Perumahan Awam 2 KPS","Kuala Perlis","PLS"
"442","02000","Sungai Berembang","Kuala Perlis","PLS"
"443","02000","Sungai Manor","Kuala Perlis","PLS"
"444","02000","Sungai Siput","Kuala Perlis","PLS"
"445","02000","Taman Berlian","Kuala Perlis","PLS"
"446","02000","Taman Bukit Kubu","Kuala Perlis","PLS"
"447","02000","Taman Indera Indah","Kuala Perlis","PLS"
"448","02000","Taman Kuala Perlis","Kuala Perlis","PLS"
"449","02000","Taman Peladang Jaya","Kuala Perlis","PLS"
"450","02000","Taman Semarak","Kuala Perlis","PLS"
"451","02000","Taman Sentosa","Kuala Perlis","PLS"
"452","02000","Taman Seri Bayu","Kuala Perlis","PLS"
"453","02000","Taman Seri Semarak","Kuala Perlis","PLS"
"454","02000","Taman Suria","Kuala Perlis","PLS"
"455","02100","Aked niaga","Padang Besar","PLS"
"456","02100","Bukit Cabang","Padang Besar","PLS"
"457","02100","Emas Kerajang","Padang Besar","PLS"
"458","02100","Felcra Lubuk Sireh","Padang Besar","PLS"
"459","02100","Felda Mata Ayer","Padang Besar","PLS"
"460","02100","Felda Rimba Mas","Padang Besar","PLS"
"461","02100","Gapura Square","Padang Besar","PLS"
"462","02100","Gapura squre","Padang Besar","PLS"
"463","02100","Jalan Padang Besar (Km 19)","Padang Besar","PLS"
"464","02100","Kampung Alor Dalam (Bukit Chabang)","Padang Besar","PLS"
"465","02100","Kampung Asmara","Padang Besar","PLS"
"466","02100","Kampung Baru Bukit Chabang","Padang Besar","PLS"
"467","02100","Kampung Baru Jalan Sahabat","Padang Besar","PLS"
"468","02100","Kampung Baru","Padang Besar","PLS"
"469","02100","Kampung Bukit Chabang","Padang Besar","PLS"
"470","02100","Kampung Chantek","Padang Besar","PLS"
"471","02100","Kampung Guar Tinggi (Titi Tinggi)","Padang Besar","PLS"
"472","02100","Kampung Kok Mak","Padang Besar","PLS"
"473","02100","Kampung Kolam","Padang Besar","PLS"
"474","02100","Kampung Masjid","Padang Besar","PLS"
"475","02100","Kampung Melayu","Padang Besar","PLS"
"476","02100","Kampung Padang Mawa","Padang Besar","PLS"
"477","02100","Kampung Petani","Padang Besar","PLS"
"478","02100","Kampung Sahabat","Padang Besar","PLS"
"479","02100","Kampung Sena","Padang Besar","PLS"
"480","02100","Kampung Sungai Chuchuh","Padang Besar","PLS"
"481","02100","Kampung Syed Abdan","Padang Besar","PLS"
"482","02100","Kampung Titi Tinggi Hilir","Padang Besar","PLS"
"483","02100","Kampung Titi Tinggi Ulu","Padang Besar","PLS"
"484","02100","Kampung Titi Tinggi","Padang Besar","PLS"
"485","02100","Kampung Tok Wan Nik","Padang Besar","PLS"
"486","02100","Kem UPP","Padang Besar","PLS"
"487","02100","Kem askar rimba Mab","Padang Besar","PLS"
"488","02100","Klinik Kesihatan Jln Keretapi","Padang Besar","PLS"
"489","02100","Kompleks Imigresen","Padang Besar","PLS"
"490","02100","Kuarantin Haiwan","Padang Besar","PLS"
